,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,K. Love,Cleveland,105,234,268,199,131,425,348,54,457,132,110,103
1,K. Irving,Cleveland,383,247,268,462,163,912,412,67,164,49,171,158
2,L. James,Cleveland,601,326,483,558,118,923,320,69,494,86,284,116
3,J. Smith,Cleveland,44,8,13,22,76,72,217,34,74,12,22,26
4,T. Thompson,Cleveland,76,104,207,251,0,418,3,75,424,280,62,42
5,I. Shumpert,Cleveland,102,60,77,96,92,208,251,69,169,36,64,62
6,R. Jefferson,Cleveland,71,74,99,87,59,149,175,72,160,26,49,40
7,C. Frye,Cleveland,44,53,64,87,125,170,303,67,220,33,50,47
8,M. Dunleavy,Cleveland,21,14,19,16,20,33,57,23,42,5,14,13
9,D. Liggins,Cleveland,54,23,37,34,17,88,45,51,83,17,40,15
10,J. Jones,Cleveland,12,11,17,10,30,21,54,36,29,2,9,5
11,J. McRae,Cleveland,19,27,34,40,18,99,51,30,34,6,14,11
12,C. Andersen,Cleveland,5,10,14,9,0,19,3,11,22,9,5,2
13,J. Noah,New York,103,34,78,99,0,199,1,46,239,160,58,24
14,D. Rose,New York,283,220,252,447,13,917,60,64,180,65,147,153
15,C. Anthony,New York,205,275,332,432,147,924,406,71,362,60,147,164
16,K. Porziņģis,New York,97,188,239,325,112,661,313,65,359,112,118,90
17,C. Lee,New York,162,70,81,189,101,395,246,71,195,46,63,82
18,B. Jennings,New York,286,102,135,95,68,228,200,58,130,21,107,73
19,K. O'Quinn,New York,107,52,69,197,1,362,15,73,257,144,70,47
20,L. Thomas,New York,35,43,51,59,38,159,85,46,114,32,25,34
21,W. Hernangómez,New York,79,75,105,214,3,390,14,63,301,148,90,40
22,J. Holiday,New York,90,59,72,118,86,230,240,76,181,24,62,63
23,M. Kuzminskas,New York,64,53,64,84,47,170,146,61,74,43,45,52
