Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
A. Afflalo,Denver,489,433,539,708,351,1411,889,243,630,146,285,256
A. Afflalo,New York,132,102,122,250,84,527,219,65,225,21,77,76
A. Afflalo,Orlando,463,445,528,667,217,1407,581,177,486,63,294,174
A. Afflalo,Portland,20,34,41,44,28,100,71,19,46,4,29,24
A. Afflalo,Sacramento,69,70,78,113,58,252,145,57,110,10,38,41
A. Ajinça,Charlotte,0,0,1,5,0,10,0,6,3,1,2,1
A. Ajinça,Dallas,2,2,3,9,3,25,7,10,12,5,1,2
A. Ajinça,New Orleans,112,182,226,456,0,882,5,194,625,280,184,85
A. Ajinça,Toronto,6,4,6,25,5,48,15,16,32,7,8,8
A. Aminu,Dallas,44,67,93,97,29,193,112,66,189,89,47,36
A. Aminu,LA Clippers,54,89,114,103,44,239,137,72,178,66,94,48
A. Aminu,New Orleans,239,232,320,497,22,1040,92,190,885,308,242,158
A. Aminu,Orlando,21,19,29,16,9,50,36,18,63,24,17,13
A. Aminu,Portland,396,373,486,509,382,1082,1079,270,1572,352,332,272
A. Anderson,Brooklyn,158,162,198,217,155,447,447,144,291,69,110,103
A. Anderson,LA Clippers,11,12,16,16,13,35,42,27,21,3,7,9
A. Anderson,Oklahoma City,0,0,0,1,0,3,0,1,0,1,1,0
A. Anderson,Toronto,97,117,137,128,91,302,265,59,101,32,78,76
A. Anderson,Washington,9,8,10,6,11,13,28,8,18,1,2,5
A. Bargnani,Brooklyn,18,47,57,124,3,263,15,46,69,28,26,25
A. Bargnani,New York,87,158,195,324,39,671,141,67,234,95,94,88
A. Bargnani,Toronto,290,625,768,1094,250,2277,725,198,847,213,375,340
A. Baynes,Boston,136,102,130,260,22,523,72,121,411,189,110,61
A. Baynes,Detroit,82,183,235,316,0,625,2,146,440,239,107,57
A. Baynes,Phoenix,67,55,74,124,59,213,168,42,166,71,50,33
A. Baynes,San Antonio,66,96,113,226,1,441,4,118,275,151,102,43
A. Bennett,Brooklyn,11,26,36,25,13,44,48,22,53,25,12,9
A. Bennett,Cleveland,17,43,67,64,13,166,53,50,100,48,46,38
A. Bennett,Minnesota,46,41,64,111,6,262,18,54,156,47,32,49
A. Bennett,Toronto,0,8,9,5,3,12,14,16,17,6,4,5
A. Biedriņš,Golden State,140,19,78,268,0,481,0,173,701,277,111,59
A. Biedriņš,Utah,0,1,6,1,0,1,0,5,15,2,2,0
A. Blakeney,Chicago,58,75,108,162,51,384,141,72,125,11,46,52
A. Blatche,Brooklyn,180,283,393,584,14,1150,63,139,473,258,202,151
A. Blatche,Washington,287,346,456,841,17,1845,59,155,711,323,334,240
A. Bogut,Dallas,49,3,11,38,0,80,1,26,162,54,43,11
A. Bogut,Golden State,481,89,193,644,2,1109,2,220,1332,474,294,146
A. Bogut,LA Lakers,15,2,2,17,0,25,0,22,52,26,19,2
A. Bogut,Milwaukee,281,252,461,872,0,1726,6,140,1056,416,275,202
A. Bradley,Boston,610,359,462,1303,447,2755,1236,359,884,241,492,450
A. Bradley,Detroit,83,58,77,159,74,376,194,40,75,19,93,75
A. Bradley,LA Clippers,107,22,27,128,59,294,181,55,115,38,69,53
A. Bradley,LA Lakers,63,20,24,107,63,210,173,49,97,18,47,49
A. Bradley,Memphis,56,22,24,59,28,115,73,14,36,8,28,19
A. Brooks,Chicago,400,169,209,311,169,720,445,137,196,46,209,160
A. Brooks,Denver,102,36,41,57,27,131,74,21,34,14,39,26
A. Brooks,Houston,607,304,365,472,287,1087,783,151,229,84,320,216
A. Brooks,Indiana,114,30,37,71,43,161,119,56,47,16,60,37
A. Brooks,Minnesota,18,6,9,15,9,32,25,24,9,6,9,8
A. Brooks,Phoenix,63,20,26,43,17,85,46,17,13,5,27,13
A. Brooks,Sacramento,108,39,50,91,48,176,127,46,66,12,63,33
A. Brown,LA Lakers,19,17,20,19,20,56,70,27,61,9,15,16
A. Brown,New Orleans,6,0,0,8,6,17,24,9,20,6,5,3
A. Brown,Orlando,2,0,0,3,1,6,3,2,5,2,1,1
A. Burks,Cleveland,98,79,98,91,45,221,119,34,160,26,46,38
A. Burks,Golden State,151,198,218,160,84,377,224,48,189,37,76,82
A. Burks,Philadelphia,45,41,50,58,35,123,93,22,53,18,18,30
A. Burks,Sacramento,9,4,5,9,0,14,6,12,19,1,4,2
A. Burks,Utah,571,800,1046,950,222,2131,639,344,786,207,446,415
A. Bynum,Cleveland,27,32,42,85,0,203,0,24,79,47,30,19
A. Bynum,Indiana,2,5,7,9,0,22,0,2,13,6,4,5
A. Bynum,LA Lakers,202,494,704,954,1,1652,5,160,1066,481,302,159
A. Carter,Denver,176,13,15,61,21,131,73,61,81,17,69,16
A. Carter,New York,20,4,4,15,5,29,18,12,23,6,19,4
A. Carter,Toronto,34,8,10,12,5,36,17,21,28,5,17,7
A. Caruso,LA Lakers,267,142,189,164,79,329,238,129,196,54,127,79
A. Cleveland,Dallas,3,5,9,10,0,29,4,20,13,5,4,5
A. Coffey,LA Clippers,18,8,13,17,6,37,20,17,12,4,8,7
A. Crabbe,Atlanta,28,9,12,22,30,50,93,28,55,10,12,21
A. Crabbe,Brooklyn,151,124,154,164,276,393,745,113,405,42,120,145
A. Crabbe,Minnesota,5,1,2,5,6,8,26,9,11,1,5,4
A. Crabbe,Portland,215,195,229,377,257,754,627,201,424,49,134,186
A. Davis,LA Lakers,267,551,652,647,93,1153,270,81,564,190,201,136
A. Davis,New Orleans,928,2325,2920,3767,175,7046,554,440,3532,1154,834,695
A. Dawkins,Miami,1,0,0,0,1,0,6,4,2,0,1,0
A. Daye,Atlanta,4,0,0,3,3,6,6,5,6,1,1,1
A. Daye,Detroit,142,144,180,272,122,632,330,174,404,108,140,141
A. Daye,Memphis,11,4,7,20,15,39,40,20,33,5,10,5
A. Daye,San Antonio,13,4,5,24,30,70,74,31,68,6,20,21
A. Daye,Toronto,2,2,3,3,0,5,8,5,5,2,0,1
A. Drummond,Cleveland,14,20,39,54,4,91,14,8,65,24,29,11
A. Drummond,Detroit,711,1214,2606,3326,11,6091,85,546,4971,2612,1062,744
A. Emmett,New Jersey,1,5,8,4,0,6,1,4,4,2,2,0
A. Gee,Cleveland,276,366,470,476,125,1047,402,211,558,196,285,201
A. Gee,Denver,25,53,74,59,10,123,27,46,51,33,29,23
A. Gee,New Orleans,73,44,66,114,17,193,61,71,185,60,55,23
A. Gee,Portland,3,1,4,9,1,16,3,10,4,3,4,2
A. Gee,San Antonio,0,0,0,1,0,3,0,2,1,2,3,0
A. Gee,Washington,12,26,41,33,7,75,11,18,29,26,18,15
A. Goodwin,Brooklyn,11,8,12,12,2,16,5,5,7,3,2,1
A. Goodwin,New Orleans,1,10,10,1,1,3,2,2,0,0,0,0
A. Goodwin,Phoenix,155,194,284,244,32,533,145,129,206,68,159,117
A. Gordon,Orlando,896,776,1110,1381,410,2718,1281,373,1814,589,521,497
