,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,C. Anthony,New York,157,205,258,261,45,599,153,43,189,68,114,114
1,L. Fields,New York,139,70,118,165,24,306,100,53,175,52,89,50
2,T. Douglas,New York,60,15,18,57,24,148,105,30,47,8,49,27
3,T. Chandler,New York,49,174,255,197,0,289,2,51,326,168,80,26
4,A. Stoudemire,New York,48,170,217,284,5,585,21,43,241,102,102,74
5,I. Shumpert,New York,128,65,84,135,38,312,125,46,113,31,91,64
6,H. Walker,New York,37,16,19,30,36,54,112,30,71,9,35,18
7,J. Harrellson,New York,8,15,24,32,18,68,55,29,81,42,17,15
8,J. Jeffries,New York,26,45,66,51,3,115,15,32,76,63,26,13
9,R. Balkman,New York,5,8,11,14,2,23,9,14,20,6,6,3
10,R. Allen,Boston,101,65,71,110,95,236,207,41,110,14,65,43
11,R. Rondo,Boston,450,88,147,200,5,431,26,41,146,50,149,47
12,K. Garnett,Boston,142,123,145,310,3,595,8,48,338,55,90,48
13,J. O'Neal,Boston,10,21,31,52,0,120,0,25,98,37,21,18
14,B. Bass,Boston,40,85,104,225,0,476,0,44,189,71,42,40
15,M. Daniels,Boston,37,12,15,37,0,101,8,29,37,11,26,17
16,C. Wilcox,Boston,12,24,39,64,0,107,0,28,84,38,30,11
17,K. Dooling,Boston,42,20,26,29,19,61,62,33,27,2,29,14
18,A. Bradley,Boston,64,40,50,103,4,202,21,48,57,19,47,20
19,S. Pavlović,Boston,7,2,4,20,8,44,36,25,29,3,11,10
20,V. Carter,Dallas,107,64,80,111,62,256,164,48,123,23,68,43
21,B. Haywood,Dallas,17,37,80,97,0,181,0,41,163,110,37,32
22,S. Marion,Dallas,106,59,74,218,18,478,57,50,231,117,79,54
23,D. Nowitzki,Dallas,112,222,249,311,57,647,159,49,284,38,90,65
24,J. Kidd,Dallas,220,16,19,17,65,43,194,42,155,14,80,32
25,J. Terry,Dallas,177,70,80,181,108,381,291,51,107,12,101,60
26,L. Odom,Dallas,82,57,96,93,27,232,108,47,165,36,50,38
27,I. Mahinmi,Dallas,11,84,134,116,0,203,1,50,152,90,40,18
28,B. Cardinal,Dallas,16,5,6,3,9,5,45,26,27,3,7,4
29,D. West,Dallas,106,42,47,82,18,174,54,31,66,9,52,29
30,R. Beaubois,Dallas,114,49,58,118,31,244,104,42,104,15,57,39
31,B. Wright,Dallas,11,38,57,96,0,152,1,36,75,35,15,14
32,D. Jones,Dallas,36,24,31,25,1,54,7,25,27,8,25,5
33,L. James,Miami,323,288,373,445,38,796,107,49,331,72,172,85
34,D. Wade,Miami,200,201,252,345,14,662,46,41,140,60,108,79
35,C. Bosh,Miami,89,196,236,321,8,637,29,47,290,74,102,72
36,M. Chalmers,Miami,171,49,59,84,89,155,217,49,122,12,103,47
37,J. Anthony,Miami,8,40,59,58,0,109,0,49,123,76,35,13
38,N. Cole,Miami,108,45,56,123,19,289,63,50,60,14,79,53
39,J. Howard,Miami,5,5,5,6,0,23,0,14,7,9,10,3
